Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
planning a vacation,5,Female,High,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
purchasing for self,14,Male,Low,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,56,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,11,Male,Medium,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,16,Male,Medium,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for retirement,31,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,76,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,58,Male,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,59,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,64,Male,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,61,Male,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,64,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,57,Female,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,16,Female,Medium,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,4,Female,High,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,3,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
starting a business,5,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
saving for retirement,50,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,42,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,48,Female,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,45,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,15,Female,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,55,Male,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,59,Female,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,55,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,33,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,11,Female,Medium,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,34,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,13,Female,Medium,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,7,Male,Low,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,24,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,65,Female,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,40,Male,Medium,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,55,Male,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,65,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,27,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,15,Female,Medium,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,15,Female,Medium,5,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,41,Male,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,77,Male,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,6,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
planning a vacation,56,Male,Medium,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,52,Male,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,6,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,78,Female,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,31,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,6,Male,Medium,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,33,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,58,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,46,Male,Low,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,26,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,51,Male,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,32,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,60,Female,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,46,Male,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,7,Female,High,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
buying a house,49,Male,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,39,Male,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,65,Male,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,5,Male,Medium,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,27,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,38,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,45,Female,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,23,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,12,Male,High,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,9,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,29,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,29,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,13,Male,Low,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for education,24,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,9,Male,Low,5,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,68,Male,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,37,Female,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,56,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,75,Male,Low,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,60,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,24,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,52,Male,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,53,Female,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,46,Female,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,33,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,13,Male,Low,4,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,71,Male,Low,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,12,Male,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,73,Male,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,46,Female,Medium,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,29,Male,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,12,Female,Medium,3,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,55,Male,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,48,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,35,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,34,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,58,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,60,Female,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,1,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
purchasing for self,17,Female,High,1,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
purchasing for self,43,Female,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,55,Male,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,9,Male,High,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,55,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,16,Female,High,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,67,Male,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,41,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,47,Male,Medium,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,58,Male,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,36,Male,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,12,Female,Medium,5,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,26,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,2,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
starting a business,22,Female,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,46,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,18,Male,Medium,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,34,Female,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,67,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,0,Female,High,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for education,27,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,48,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,3,Female,Low,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for retirement,11,Female,Low,5,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,28,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,40,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,73,Female,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,2,Male,Low,1,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for retirement,78,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,59,Female,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,10,Male,High,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,4,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
starting a business,73,Male,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,8,Male,Medium,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,37,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,58,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,58,Male,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,49,Female,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,19,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,35,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,36,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,74,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,49,Male,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,18,Female,Low,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,4,Male,Medium,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,79,Male,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,49,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,13,Female,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,51,Male,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,16,Female,High,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,55,Female,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
